1,AS/1,AS/1/ID,AS/1/LABEL,AS/2,AS/2/ID,AS/2/LABEL,AS/3,AS/3/ID,AS/3/LABEL,AS/4,AS/4/ID,AS/4/LABEL,AS/5,AS/5/ID,AS/5/LABEL,AS/6,AS/6/ID,AS/6/LABEL,AS/7,AS/7/ID,AS/7/LABEL,AS/8,AS/8/ID,AS/8/LABEL,AS/9,AS/9/ID,AS/9/LABEL,AS/10,AS/10/ID,AS/10/LABEL,AS/11,AS/11/ID,AS/11/LABEL,AS/12,AS/12/ID,AS/12/LABEL,CT/1 - Sources,BGene/1,NV notes
2,cell,CL:0000000,cell,endothelial cell,CL:0000115,endothelial cell,endothelial cell of vascular tree,CL:0002139,endothelial cell of vascular tree,blood vessel endothelial cell,CL:0000071,blood vessel endothelial cell,,,,,,,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
3,cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,myeloid leukocyte,CL:0000766,myeloid leukocyte,granulocyte,CL:0000094,granulocyte,,,,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
4,cell,CL:0000000,cell,precursor cell,CL:0011115,precursor cell,progenitor cell,CL:0011026,progenitor cell,club cell,CL:0000158,club cell,,,,,,,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
5,cell,CL:0000000,cell,precursor cell,CL:0011115,precursor cell,stem cell,CL:0000034,stem cell,somatic stem cell,CL:0000723,somatic stem cell,epithelial fate stem cell,CL:0000036,epithelial fate stem cell,basal cell,CL:0000646,basal cell,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
6,cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,lymphocyte,CL:0000542,lymphocyte,T cell,CL:0000084,T cell,gamma-delta T cell,CL:0000798,gamma-delta T cell,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
7,cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,lymphocyte,CL:0000542,lymphocyte,lymphocyte of B lineage,CL:0000945,lymphocyte of B lineage,B cell,CL:0000236,B cell,"B cell, CD19-positive",CL:0001201,"B cell, CD19-positive",mature B cell,CL:0000785,mature B cell,germinal center B cell,CL:0000844,germinal center B cell,,,,,,,azimuth,sc_transcriptomics,
8,cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,myeloid leukocyte,CL:0000766,myeloid leukocyte,macrophage,CL:0000235,macrophage,elicited macrophage,CL:0000861,elicited macrophage,M1 macrophage,CL:0000863,M1 macrophage,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
9,cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,endo-epithelial cell,CL:0002076,endo-epithelial cell,respiratory tract epithelial cell,CL:0002368,respiratory tract epithelial cell,epithelial cell of lower respiratory tract,CL:0002632,epithelial cell of lower respiratory tract,epithelial cell of lung,CL:0000082,epithelial cell of lung,pulmonary alveolar epithelial cell,CL:0000322,pulmonary alveolar epithelial cell,pulmonary alveolar type 1 cell,CL:0002062,pulmonary alveolar type 1 cell,,,,,,,,,,,,,azimuth,sc_transcriptomics,
10,cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,duct epithelial cell,CL:0000068,duct epithelial cell,branched duct epithelial cell,CL:0000069,branched duct epithelial cell,pancreatic ductal cell,CL:0002079,pancreatic ductal cell,,,,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
11,cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,mononuclear phagocyte,CL:0000113,mononuclear phagocyte,dendritic cell,CL:0000451,dendritic cell,conventional dendritic cell,CL:0000990,conventional dendritic cell,myeloid dendritic cell,CL:0000782,myeloid dendritic cell,CD1c-positive myeloid dendritic cell,CL:0002399,CD1c-positive myeloid dendritic cell,,,,,,,,,,azimuth,sc_transcriptomics,
